fold,auc,acc,f1,n_val,pos_val,neg_val,youdenJ,best_threshold
1,1.0,1.0,1.0,140,60,80,1.0,0.97900390625
2,0.9985416666666667,0.9428571428571428,0.9285714285714286,140,60,80,0.9708333333333333,0.36376953125
3,0.9954166666666666,0.9785714285714285,0.975609756097561,140,60,80,0.9708333333333333,0.96337890625
4,1.0,0.9928571428571429,0.9917355371900827,140,60,80,1.0,0.9765625
5,1.0,0.9928571428571429,0.9915966386554622,140,60,80,1.0,0.472900390625
